ID,Complaint,Department
7228,Stray dogs are attacking residents in Vadapalani,Public Safety
7229,Zebra crossing markings have faded on Main Road,Traffic
7230,Dark stretch on Gandhi Street due to broken street lights,Street Lighting
7231,Bus stop shelter near Station Road is damaged,Public Transport
7232,There is no drinking water in the housing board colony for the past 12 days,Water Supply
7233,A clerk asked for extra money to process ration card in the old bus stand area,Corruption
7234,A municipal worker is taking bribes for water connection approvals in Kolathur,Corruption
7235,Live wire lying on School Lane poses electrocution risk,Public Safety
7236,Corruption reported in distribution of government scheme benefits in Egmore,Corruption
7237,Stray dogs are attacking residents in Kolathur,Public Safety
7238,Broken compound wall near Ring Road is a safety hazard,Public Safety
7239,Zebra crossing markings have faded on Gandhi Street,Traffic
7240,Dark stretch on Bazaar Street due to broken street lights,Street Lighting
7241,An officer at the counter is taking bribes for water connection approvals in Pallavaram,Corruption
7242,Long waiting times reported at the panchayat office area government hospital,Health
7243,Illegal sand mining reported near the old bus stand area,Environment
7244,Air pollution levels are high near the factory in Porur,Environment
7245,Burning of waste is causing smoke in Perambur,Environment
7246,Bus stop shelter near North Street is damaged,Public Transport
7247,Speed breakers are missing near the school on North Street,Road Maintenance
7248,Exposed wires near Gandhi Street pose a danger to residents,Electricity
7249,No security personnel at the public park in T Nagar,Public Safety
7250,"Traffic signal is damaged at Bazaar Street junction, Kodambakkam",Traffic
7251,"Street lights remain on during daytime in Ward 12, wasting power",Street Lighting
7252,Ambulance service is delayed in Sector 5,Health
7253,No specialist doctor visits the Porur health center,Health
7254,Vaccination camp was cancelled without notice in Porur,Health
7255,Money was demanded for processing a pension application in near the temple,Corruption
7256,Signboards are missing at the Gandhi Street intersection,Traffic
7257,Noise pollution from construction near Nehru Street at night,Environment
7258,Hospital in Kolathur has no doctors available,Health
7259,2 street lights have been off for weeks near Temple Street,Street Lighting
7260,Street light wiring is exposed and dangerous in Nungambakkam,Street Lighting
7261,No traffic police present at busy junction near Gandhi Street,Traffic
7262,No science teacher appointed at Nungambakkam school for 10 months,Education
7263,Road near Station Road has not been repaired after monsoon,Road Maintenance
7264,Leaking pipeline is wasting water on Main Road,Water Supply
7265,"Street lights remain on during daytime in the housing board colony, wasting power",Street Lighting
7266,Open manhole causing danger on Gandhi Street in Porur,Public Safety
7267,Voltage fluctuation is damaging appliances in Perambur,Electricity
7268,Segregated waste is being mixed by collection staff in T Nagar,Waste Management
7269,Water pipe burst near Gandhi Street in Mylapore,Water Supply
7270,Construction debris left on North Street blocking traffic,Road Maintenance
7271,Solar street lights installed in Guindy are non functional,Street Lighting
7272,Traffic signal timing is too short at Ring Road,Traffic
7273,Abandoned building near North Street is unsafe for children,Public Safety
7274,Overcrowded buses are running on the Sector 5 route,Public Transport
7275,No water connection provided despite application in the railway station road,Water Supply
7276,Signboards are missing at the Bazaar Street intersection,Traffic
7277,Leaking pipeline is wasting water on Bazaar Street,Water Supply
7278,School in Saidapet lacks proper toilet facilities,Education
7279,Encroachment on the lake near the government school area is destroying wetlands,Environment
7280,Power supply tripped and not restored for 15 hours in the government school area,Electricity
7281,Plastic waste dumped near the water body in the railway station road,Environment
7282,Burning of waste is causing smoke in Chromepet,Environment
7283,Primary health center in the industrial estate is understaffed,Health
7284,Overcrowded classrooms reported in Phase 2 government school,Education
7285,Official at the Chromepet office is demanding money for a certificate,Corruption
7286,Frequent power cuts are occurring in Pallavaram,Electricity
7287,5 street lights have been off for weeks near Market Road,Street Lighting
7288,New electricity connection is delayed in Mylapore,Electricity
7289,Electric pole near Ring Road is leaning dangerously,Electricity
7290,Broken compound wall near Market Road is a safety hazard,Public Safety
7291,Waterlogging occurs on Gandhi Street during rains,Road Maintenance
7292,Street lights are not working on Church Street in Egmore,Street Lighting
7293,Signboards are missing at the Church Street intersection,Traffic
7294,Noise pollution from construction near Bypass Road at night,Environment
7295,A municipal worker asked for extra money to process ration card in Chromepet,Corruption
7296,Frequent traffic congestion on School Lane during peak hours,Traffic
7297,Garbage is overflowing near Temple Street in Ambattur,Waste Management
7298,Frequent traffic congestion on South Street during peak hours,Traffic
7299,Bribe was demanded for issuing a building permit in Tambaram,Corruption
7300,Deep pit left uncovered near South Street in Velachery,Public Safety
7301,Encroachment on the lake near the government school area is destroying wetlands,Environment
7302,Exposed wires near Station Road pose a danger to residents,Electricity
7303,Corruption reported in distribution of government scheme benefits in the main market road,Corruption
7304,School lacks drinking water facility in near the temple,Education
7305,Illegal parking is causing traffic jams on North Street,Traffic
7306,"New street light pole is needed on Station Road, the railway station road",Street Lighting
7307,Street light flickers continuously on Temple Street,Street Lighting
7308,Traffic signal timing is too short at Bazaar Street,Traffic
7309,Corruption reported in distribution of government scheme benefits in Phase 2,Corruption
7310,Hospital in Kolathur lacks cleanliness and hygiene,Health
7311,Burning of waste is causing smoke in the panchayat office area,Environment
7312,Long waiting times reported at Saidapet government hospital,Health
7313,Water pipe burst near Nehru Street in the main market road,Water Supply
7314,Construction debris left on MG Road blocking traffic,Road Maintenance
7315,Hospital in the main market road lacks cleanliness and hygiene,Health
7316,School building near Bypass Road needs urgent repair,Education
7317,Overcrowded buses are running on the the government school area route,Public Transport
7318,Textbooks not distributed on time in Sector 5 schools,Education
7319,Garbage collection truck has not come to Ambattur for 6 days,Waste Management
7320,Primary health center in Ambattur is understaffed,Health
7321,No traffic police present at busy junction near Market Road,Traffic
7322,Encroachment on the lake near Anna Nagar is destroying wetlands,Environment
7323,Long waiting times reported at Sector 5 government hospital,Health
7324,Road divider near MG Road is broken,Road Maintenance
7325,Signboards are missing at the Temple Street intersection,Traffic
7326,"Low water pressure reported near Ring Road, Guindy",Water Supply
7327,Transformer near South Street in the housing board colony is not working,Electricity
7328,Overcrowded classrooms reported in Pallavaram government school,Education
7329,Street light flickers continuously on South Street,Street Lighting
7330,Exposed wires near Church Street pose a danger to residents,Electricity
7331,Transformer near Temple Street in Perambur is not working,Electricity
7332,Vaccination camp was cancelled without notice in Alwarpet,Health
7333,School in Porur lacks proper toilet facilities,Education
7334,Voltage fluctuation is damaging appliances in the government school area,Electricity
7335,Solar street lights installed in Block C are non functional,Street Lighting
7336,Electricity is unavailable in Alwarpet for the past 5 days,Electricity
7337,Live wire lying on Bazaar Street poses electrocution risk,Public Safety
7338,Illegal sand mining reported near Royapettah,Environment
7339,Hospital in near the temple lacks cleanliness and hygiene,Health
7340,Someone demanded a bribe for approval of a document in the railway station road,Corruption
7341,Unsafe construction site near Park Avenue lacks barricades,Public Safety
7342,A contractor is taking bribes for water connection approvals in the housing board colony,Corruption
7343,Ambulance service is delayed in Pallavaram,Health
7344,Mid day meal quality is poor at Kodambakkam school,Education
7345,No traffic police present at busy junction near Station Road,Traffic
7346,Street lights are not working on MG Road in Adyar,Street Lighting
7347,Traffic signal timing is too short at School Lane,Traffic
7348,Dumping ground near the government school area is causing bad odor,Waste Management
7349,Corruption reported in distribution of government scheme benefits in Egmore,Corruption
7350,Overcrowded classrooms reported in Phase 2 government school,Education
7351,Power supply tripped and not restored for 5 hours in Guindy,Electricity
7352,Contaminated water is being supplied in Sector 5,Water Supply
7353,Bus frequency has reduced drastically on the main market road route,Public Transport
7354,Government hospital near Gandhi Street lacks basic medicines,Health
7355,Garbage is overflowing near Bazaar Street in Alwarpet,Waste Management
7356,Electric pole near North Street is leaning dangerously,Electricity
7357,Dumping ground near the industrial estate is causing bad odor,Waste Management
7358,Water body near near the temple is being polluted by industrial waste,Environment
7359,Water supply has been irregular in the government school area for 12 weeks,Water Supply
7360,Streetside electric meter is sparking in the panchayat office area,Electricity
7361,"Low water pressure reported near Gandhi Street, Porur",Water Supply
7362,8 street lights have been off for weeks near Gandhi Street,Street Lighting
7363,No bus service available to Anna Nagar after 8 pm,Public Transport
7364,Bribe was demanded for issuing a building permit in Porur,Corruption
7365,A government official is taking bribes for water connection approvals in the industrial estate,Corruption
7366,Bus stop shelter near Temple Street is damaged,Public Transport
7367,Mid day meal quality is poor at Mylapore school,Education
7368,Overcrowded buses are running on the Perambur route,Public Transport
7369,New electricity connection is delayed in Nungambakkam,Electricity
7370,Power supply tripped and not restored for 6 hours in Perambur,Electricity
7371,Dead animal left uncollected on North Street in Anna Nagar,Waste Management
7372,"New street light pole is needed on Bypass Road, Saidapet",Street Lighting
7373,Overhead tank in Guindy has not been cleaned in months,Water Supply
7374,Power supply tripped and not restored for 14 hours in Chromepet,Electricity
7375,Traffic signal timing is too short at North Street,Traffic
7376,Transformer near North Street in Egmore is not working,Electricity
7377,Water supply has been irregular in Pallavaram for 4 weeks,Water Supply
7378,Hospital in the main market road lacks cleanliness and hygiene,Health
7379,Broken compound wall near MG Road is a safety hazard,Public Safety
7380,Corruption reported in distribution of government scheme benefits in Sector 5,Corruption
7381,Contaminated water is being supplied in Perambur,Water Supply
7382,Overcrowded buses are running on the the government school area route,Public Transport
7383,Hospital in Porur has no doctors available,Health
7384,Stray dogs are attacking residents in Nungambakkam,Public Safety
7385,Dark stretch on School Lane due to broken street lights,Street Lighting
7386,Streetside electric meter is sparking in Sector 5,Electricity
7387,Road near Nehru Street has not been repaired after monsoon,Road Maintenance
7388,Illegal tree cutting is happening near Bazaar Street in Egmore,Environment
7389,Zebra crossing markings have faded on South Street,Traffic
7390,Noise pollution from construction near Main Road at night,Environment
7391,"New street light pole is needed on School Lane, Sector 5",Street Lighting
7392,Speed breakers are missing near the school on Market Road,Road Maintenance
7393,Frequent power cuts are occurring in Sector 5,Electricity
7394,Corruption reported in distribution of government scheme benefits in near the temple,Corruption
7395,Money was demanded for processing a pension application in the industrial estate,Corruption
7396,Street lights are not working on North Street in Kodambakkam,Street Lighting
7397,Water body near Porur is being polluted by industrial waste,Environment
7398,Solar street lights installed in Vadapalani are non functional,Street Lighting
7399,Unsafe construction site near Gandhi Street lacks barricades,Public Safety
7400,Broken compound wall near MG Road is a safety hazard,Public Safety
7401,Noise pollution from construction near North Street at night,Environment
7402,Illegal parking is causing traffic jams on Bypass Road,Traffic
7403,Huge potholes on MG Road in Tambaram,Road Maintenance
7404,Construction debris left on Church Street blocking traffic,Road Maintenance
7405,"Traffic signal is damaged at North Street junction, Kodambakkam",Traffic
7406,Unsafe construction site near Bazaar Street lacks barricades,Public Safety
7407,No specialist doctor visits the Ward 12 health center,Health
7408,School lacks drinking water facility in Pallavaram,Education
7409,Overcrowded buses are running on the the government school area route,Public Transport
7410,Illegal dumping of waste is happening near School Lane,Waste Management
7411,Garbage is overflowing near Market Road in Pallavaram,Waste Management
7412,Illegal parking is causing traffic jams on Nehru Street,Traffic
7413,Vaccination camp was cancelled without notice in Perambur,Health
7414,Textbooks not distributed on time in T Nagar schools,Education
7415,No water connection provided despite application in Vadapalani,Water Supply
7416,Air pollution levels are high near the factory in Velachery,Environment
7417,Bus stop shelter near Ring Road is damaged,Public Transport
7418,Textbooks not distributed on time in Mylapore schools,Education
7419,Overcrowded classrooms reported in Sector 5 government school,Education
7420,Dark stretch on Bazaar Street due to broken street lights,Street Lighting
7421,Garbage collection truck has not come to Ambattur for 3 days,Waste Management
7422,Official at the Anna Nagar office is demanding money for a certificate,Corruption
7423,Textbooks not distributed on time in the panchayat office area schools,Education
7424,Bus frequency has reduced drastically on Alwarpet route,Public Transport
7425,Power supply tripped and not restored for 2 hours in Kolathur,Electricity
7426,Frequent traffic congestion on MG Road during peak hours,Traffic
7427,Burning of waste is causing smoke in Alwarpet,Environment
7428,Overcrowded buses are running on the the industrial estate route,Public Transport
7429,No science teacher appointed at Phase 2 school for 2 months,Education
7430,Broken compound wall near Market Road is a safety hazard,Public Safety
7431,Garbage collection truck has not come to the railway station road for 7 days,Waste Management
7432,Billing error in electricity charges for Nungambakkam residents,Electricity
7433,Encroachment on the lake near Ward 12 is destroying wetlands,Environment
7434,Last bus timing has been cancelled for the panchayat office area,Public Transport
7435,Bus conductor misbehaved with passengers on the panchayat office area route,Public Transport
7436,Overcrowded buses are running on the T Nagar route,Public Transport
7437,Open manhole causing danger on Church Street in Adyar,Public Safety
7438,Construction debris left on School Lane blocking traffic,Road Maintenance
7439,Waterlogging occurs on Temple Street during rains,Road Maintenance
7440,Air pollution levels are high near the factory in Adyar,Environment
7441,No waste collection service provided in the main market road colony,Waste Management
7442,Voltage fluctuation is damaging appliances in Velachery,Electricity
7443,"Street lights remain on during daytime in Tambaram, wasting power",Street Lighting
7444,"No footpath available on Nehru Street, pedestrians face danger",Road Maintenance
7445,School lacks drinking water facility in Ward 12,Education
7446,Open manhole causing danger on Station Road in near the temple,Public Safety
7447,Signboards are missing at the MG Road intersection,Traffic
7448,Speed breakers are missing near the school on Gandhi Street,Road Maintenance
7449,Leaking pipeline is wasting water on Market Road,Water Supply
7450,Transformer near Nehru Street in the housing board colony is not working,Electricity
7451,Dark stretch on Church Street due to broken street lights,Street Lighting
7452,Traffic signal timing is too short at Bypass Road,Traffic
7453,Encroachment on the lake near Sector 5 is destroying wetlands,Environment
7454,Deep pit left uncovered near Nehru Street in Mylapore,Public Safety
7455,Hospital in Pallavaram lacks cleanliness and hygiene,Health
7456,Illegal dumping of waste is happening near Church Street,Waste Management
7457,Noise pollution from construction near Gandhi Street at night,Environment
7458,Bus service is irregular on the Ambattur route,Public Transport
7459,No water connection provided despite application in Vadapalani,Water Supply
7460,Bribe was demanded for issuing a building permit in T Nagar,Corruption
7461,Teacher is absent regularly at the Kolathur government school,Education
7462,Electric pole near Gandhi Street is leaning dangerously,Electricity
7463,"Street lights remain on during daytime in Sector 5, wasting power",Street Lighting
7464,No science teacher appointed at Pallavaram school for 2 months,Education
7465,"No footpath available on South Street, pedestrians face danger",Road Maintenance
7466,Overcrowded buses are running on the the panchayat office area route,Public Transport
7467,8 street lights have been off for weeks near MG Road,Street Lighting
7468,Speed breakers are missing near the school on School Lane,Road Maintenance
7469,Corruption reported in distribution of government scheme benefits in Mylapore,Corruption
7470,Dead animal left uncollected on North Street in Kolathur,Waste Management
7471,Streetside electric meter is sparking in Adyar,Electricity
7472,A clerk asked for extra money to process ration card in Perambur,Corruption
7473,Exposed wires near Ring Road pose a danger to residents,Electricity
7474,Money was demanded for processing a pension application in the industrial estate,Corruption
7475,Illegal sand mining reported near Adyar,Environment
7476,No bus service available to Sector 5 after 8 pm,Public Transport
7477,Road near Station Road has not been repaired after monsoon,Road Maintenance
7478,New electricity connection is delayed in Adyar,Electricity
7479,Government hospital near Main Road lacks basic medicines,Health
7480,Solar street lights installed in Ward 12 are non functional,Street Lighting
7481,Abandoned building near Station Road is unsafe for children,Public Safety
7482,Water supply has been irregular in Vadapalani for 12 weeks,Water Supply
7483,Someone demanded a bribe for approval of a document in the main market road,Corruption
7484,Electricity is unavailable in Ambattur for the past 5 days,Electricity
7485,Overcrowded buses are running on the Anna Nagar route,Public Transport
7486,Live wire lying on South Street poses electrocution risk,Public Safety
7487,Auto drivers are refusing to use the meter near Ring Road,Public Transport
7488,Electric pole near Nehru Street is leaning dangerously,Electricity
7489,Construction debris left on Bazaar Street blocking traffic,Road Maintenance
7490,Transformer near Ring Road in Tambaram is not working,Electricity
7491,Illegal sand mining reported near Ambattur,Environment
7492,Plastic waste dumped near the water body in Perambur,Environment
7493,Primary health center in Royapettah is understaffed,Health
7494,Garbage is overflowing near Gandhi Street in Ward 12,Waste Management
7495,Overcrowded classrooms reported in the industrial estate government school,Education
7496,Frequent traffic congestion on Bazaar Street during peak hours,Traffic
7497,"New street light pole is needed on South Street, Anna Nagar",Street Lighting
7498,Mid day meal quality is poor at Alwarpet school,Education
7499,Bus frequency has reduced drastically on near the temple route,Public Transport
7500,Bus stop shelter near Bypass Road is damaged,Public Transport
7501,School lacks drinking water facility in T Nagar,Education
7502,Overhead tank in Nungambakkam has not been cleaned in months,Water Supply
7503,Illegal dumping of waste is happening near Church Street,Waste Management
7504,No security personnel at the public park in Adyar,Public Safety
7505,Burning of waste is causing smoke in Perambur,Environment
7506,Huge potholes on Bypass Road in Sector 5,Road Maintenance
7507,Segregated waste is being mixed by collection staff in Royapettah,Waste Management
7508,No waste collection service provided in Perambur colony,Waste Management
7509,Electric pole near Nehru Street is leaning dangerously,Electricity
7510,Overhead tank in Tambaram has not been cleaned in months,Water Supply
7511,Illegal tree cutting is happening near Park Avenue in Sector 5,Environment
7512,Dark stretch on School Lane due to broken street lights,Street Lighting
7513,Streetside electric meter is sparking in Adyar,Electricity
7514,School lacks drinking water facility in Perambur,Education
7515,Mid day meal quality is poor at Kodambakkam school,Education
7516,Hospital in Kolathur has no doctors available,Health
7517,Noise pollution from construction near Main Road at night,Environment
7518,Zebra crossing markings have faded on Station Road,Traffic
7519,Money was demanded for processing a pension application in Ward 12,Corruption
7520,Billing error in electricity charges for Saidapet residents,Electricity
7521,"Traffic signal is damaged at Nehru Street junction, Ward 12",Traffic
7522,Dumping ground near Sector 5 is causing bad odor,Waste Management
7523,Traffic signal timing is too short at Main Road,Traffic
7524,Waterlogging occurs on School Lane during rains,Road Maintenance
7525,Electric pole near MG Road is leaning dangerously,Electricity
7526,Teacher is absent regularly at the Phase 2 government school,Education
7527,Bus conductor misbehaved with passengers on the railway station road route,Public Transport
7528,Stray dogs are attacking residents in the government school area,Public Safety
7529,Voltage fluctuation is damaging appliances in the housing board colony,Electricity
7530,Long waiting times reported at Chromepet government hospital,Health
7531,Bribe was demanded for issuing a building permit in Egmore,Corruption
7532,Voltage fluctuation is damaging appliances in Ambattur,Electricity
7533,Ambulance service is delayed in Egmore,Health
7534,Huge potholes on Nehru Street in Saidapet,Road Maintenance
7535,Illegal sand mining reported near Block C,Environment
7536,Water supply has been irregular in the panchayat office area for 8 weeks,Water Supply
7537,Bus stop shelter near Market Road is damaged,Public Transport
7538,Hospital in the government school area lacks cleanliness and hygiene,Health
7539,Someone demanded a bribe for approval of a document in T Nagar,Corruption
7540,Traffic signal timing is too short at Nehru Street,Traffic
7541,Traffic signal timing is too short at Gandhi Street,Traffic
7542,Water tanker did not arrive in the panchayat office area as scheduled,Water Supply
7543,Bus service is irregular on the Nungambakkam route,Public Transport
7544,Mid day meal quality is poor at the railway station road school,Education
7545,School in the main market road lacks proper toilet facilities,Education
7546,Bus conductor misbehaved with passengers on T Nagar route,Public Transport
7547,Zebra crossing markings have faded on Park Avenue,Traffic
7548,Noise pollution from construction near Park Avenue at night,Environment
7549,Corruption reported in distribution of government scheme benefits in Tambaram,Corruption
7550,New electricity connection is delayed in T Nagar,Electricity
7551,Garbage is overflowing near Bypass Road in Mylapore,Waste Management
7552,Government hospital near Station Road lacks basic medicines,Health
7553,Teacher is absent regularly at the Vadapalani government school,Education
7554,Last bus timing has been cancelled for the government school area,Public Transport
7555,Textbooks not distributed on time in the panchayat office area schools,Education
7556,Burning of waste is causing smoke in Velachery,Environment
7557,Vaccination camp was cancelled without notice in near the temple,Health
7558,Vaccination camp was cancelled without notice in Velachery,Health
7559,Bribe was demanded for issuing a building permit in Nungambakkam,Corruption
7560,Primary health center in Chromepet is understaffed,Health
7561,Water pipe burst near MG Road in the industrial estate,Water Supply
7562,"New street light pole is needed on South Street, Kolathur",Street Lighting
7563,Live wire lying on MG Road poses electrocution risk,Public Safety
7564,Garbage is overflowing near Church Street in Vadapalani,Waste Management
7565,"No signal at the school crossing near School Lane, Adyar",Traffic
7566,Contaminated water is being supplied in the main market road,Water Supply
7567,"Low water pressure reported near School Lane, Velachery",Water Supply
7568,Bus stop shelter near Church Street is damaged,Public Transport
7569,Road near Temple Street has not been repaired after monsoon,Road Maintenance
7570,There is no drinking water in Kolathur for the past 4 days,Water Supply
7571,Illegal tree cutting is happening near North Street in the main market road,Environment
7572,A contractor is taking bribes for water connection approvals in Egmore,Corruption
7573,Deep pit left uncovered near Ring Road in Guindy,Public Safety
7574,A government official asked for extra money to process ration card in Royapettah,Corruption
7575,Zebra crossing markings have faded on South Street,Traffic
7576,No security personnel at the public park in Velachery,Public Safety
7577,Textbooks not distributed on time in the industrial estate schools,Education
7578,Encroachment on the lake near the housing board colony is destroying wetlands,Environment
7579,"Street lights remain on during daytime in the industrial estate, wasting power",Street Lighting
7580,Dead animal left uncollected on Gandhi Street in the government school area,Waste Management
7581,Water tanker did not arrive in the industrial estate as scheduled,Water Supply
7582,"No footpath available on Church Street, pedestrians face danger",Road Maintenance
7583,No waste collection service provided in Porur colony,Waste Management
7584,Dumping ground near Ambattur is causing bad odor,Waste Management
7585,Voltage fluctuation is damaging appliances in Anna Nagar,Electricity
7586,Long waiting times reported at Egmore government hospital,Health
7587,Huge potholes on Market Road in Egmore,Road Maintenance
7588,9 street lights have been off for weeks near North Street,Street Lighting
7589,Illegal parking is causing traffic jams on South Street,Traffic
7590,Water pipe burst near Park Avenue in the railway station road,Water Supply
7591,Stray dogs are attacking residents in the housing board colony,Public Safety
7592,Electricity is unavailable in the main market road for the past 6 days,Electricity
7593,Illegal parking is causing traffic jams on Temple Street,Traffic
7594,Air pollution levels are high near the factory in the government school area,Environment
7595,Waterlogging occurs on Park Avenue during rains,Road Maintenance
7596,Public dustbin near Church Street is broken and overflowing,Waste Management
7597,Bribe was demanded for issuing a building permit in Porur,Corruption
7598,Borewell in Phase 2 has run dry,Water Supply
7599,Garbage collection truck has not come to Phase 2 for 9 days,Waste Management
7600,Bus service is irregular on the Velachery route,Public Transport
7601,Ambulance service is delayed in Ambattur,Health
7602,No specialist doctor visits the the main market road health center,Health
7603,Dead animal left uncollected on Nehru Street in Nungambakkam,Waste Management
7604,Water tanker did not arrive in Ward 12 as scheduled,Water Supply
7605,Traffic signal timing is too short at Gandhi Street,Traffic
7606,Streetside electric meter is sparking in Mylapore,Electricity
7607,Garbage collection truck has not come to the railway station road for 8 days,Waste Management
7608,Bus service is irregular on the the old bus stand area route,Public Transport
7609,Ambulance service is delayed in Sector 5,Health
7610,There is no drinking water in Velachery for the past 5 days,Water Supply
7611,Someone demanded a bribe for approval of a document in Guindy,Corruption
7612,"Street lights remain on during daytime in the panchayat office area, wasting power",Street Lighting
7613,Speed breakers are missing near the school on South Street,Road Maintenance
7614,Abandoned building near Temple Street is unsafe for children,Public Safety
7615,Frequent traffic congestion on North Street during peak hours,Traffic
7616,Zebra crossing markings have faded on MG Road,Traffic
7617,Official at the Block C office is demanding money for a certificate,Corruption
7618,Bus service is irregular on the Egmore route,Public Transport
7619,Garbage is overflowing near MG Road in Porur,Waste Management
7620,Illegal parking is causing traffic jams on Church Street,Traffic
7621,Illegal tree cutting is happening near Church Street in Ambattur,Environment
7622,No specialist doctor visits the Anna Nagar health center,Health
7623,Abandoned building near Temple Street is unsafe for children,Public Safety
7624,Contaminated water is being supplied in Nungambakkam,Water Supply
7625,"Low water pressure reported near Bazaar Street, Kodambakkam",Water Supply
7626,Huge potholes on Market Road in Adyar,Road Maintenance
7627,"Street lights remain on during daytime in Phase 2, wasting power",Street Lighting
7628,"Traffic signal is damaged at Bypass Road junction, Guindy",Traffic
7629,Noise pollution from construction near Temple Street at night,Environment
7630,No water connection provided despite application in Chromepet,Water Supply
7631,"Street lights remain on during daytime in Phase 2, wasting power",Street Lighting
7632,Someone demanded a bribe for approval of a document in Vadapalani,Corruption
7633,Dead animal left uncollected on Park Avenue in Vadapalani,Waste Management
7634,Teacher is absent regularly at the Royapettah government school,Education
7635,Hospital in Mylapore has no doctors available,Health
7636,Newly laid road on MG Road is already damaged,Road Maintenance
7637,Bus frequency has reduced drastically on Velachery route,Public Transport
7638,School lacks drinking water facility in the industrial estate,Education
7639,Water body near the main market road is being polluted by industrial waste,Environment
7640,Air pollution levels are high near the factory in Sector 5,Environment
7641,Open manhole causing danger on School Lane in Velachery,Public Safety
7642,Solar street lights installed in the government school area are non functional,Street Lighting
7643,Teacher is absent regularly at the Block C government school,Education
7644,Illegal dumping of waste is happening near Church Street,Waste Management
7645,Textbooks not distributed on time in Royapettah schools,Education
7646,Water body near the railway station road is being polluted by industrial waste,Environment
7647,Dumping ground near Pallavaram is causing bad odor,Waste Management
7648,No specialist doctor visits the Chromepet health center,Health
7649,Construction debris left on Temple Street blocking traffic,Road Maintenance
7650,Construction debris left on Main Road blocking traffic,Road Maintenance
7651,Bus frequency has reduced drastically on Chromepet route,Public Transport
7652,Water pipe burst near South Street in Pallavaram,Water Supply
7653,Someone demanded a bribe for approval of a document in Egmore,Corruption
7654,Road near Nehru Street has not been repaired after monsoon,Road Maintenance
7655,No traffic police present at busy junction near Bypass Road,Traffic
7656,Hospital in the housing board colony lacks cleanliness and hygiene,Health
7657,Newly laid road on Nehru Street is already damaged,Road Maintenance
7658,Deep pit left uncovered near Ring Road in Nungambakkam,Public Safety
7659,Newly laid road on Park Avenue is already damaged,Road Maintenance
7660,"No signal at the school crossing near Temple Street, near the temple",Traffic
7661,Overcrowded classrooms reported in the main market road government school,Education
7662,No bus service available to Block C after 8 pm,Public Transport
7663,Mid day meal quality is poor at Sector 5 school,Education
7664,Last bus timing has been cancelled for Porur,Public Transport
7665,Garbage is overflowing near Gandhi Street in Alwarpet,Waste Management
7666,Dark stretch on North Street due to broken street lights,Street Lighting
7667,Bus service is irregular on the Mylapore route,Public Transport
7668,"New street light pole is needed on Main Road, Alwarpet",Street Lighting
7669,Burning of waste is causing smoke in Anna Nagar,Environment
7670,Dark stretch on Ring Road due to broken street lights,Street Lighting
7671,Encroachment on the lake near Velachery is destroying wetlands,Environment
7672,Burning of waste is causing smoke in Vadapalani,Environment
7673,No waste collection service provided in Nungambakkam colony,Waste Management
7674,Construction debris left on School Lane blocking traffic,Road Maintenance
7675,"Street lights remain on during daytime in Kolathur, wasting power",Street Lighting
7676,Bus service is irregular on the Saidapet route,Public Transport
7677,"Street lights remain on during daytime in Perambur, wasting power",Street Lighting
7678,Textbooks not distributed on time in the panchayat office area schools,Education
7679,Bus frequency has reduced drastically on Phase 2 route,Public Transport
7680,Garbage is overflowing near Park Avenue in Kodambakkam,Waste Management
7681,Corruption reported in distribution of government scheme benefits in Block C,Corruption
7682,Bus frequency has reduced drastically on Tambaram route,Public Transport
7683,New electricity connection is delayed in Kolathur,Electricity
7684,Live wire lying on Park Avenue poses electrocution risk,Public Safety
7685,Borewell in Sector 5 has run dry,Water Supply
7686,Burning of waste is causing smoke in Ambattur,Environment
7687,Water body near Adyar is being polluted by industrial waste,Environment
7688,Hospital in the housing board colony has no doctors available,Health
7689,No specialist doctor visits the Alwarpet health center,Health
7690,Traffic signal timing is too short at Market Road,Traffic
7691,New electricity connection is delayed in Velachery,Electricity
7692,Noise pollution from construction near Nehru Street at night,Environment
7693,Garbage is overflowing near South Street in Sector 5,Waste Management
7694,Government hospital near Bazaar Street lacks basic medicines,Health
7695,Huge potholes on Bazaar Street in Perambur,Road Maintenance
7696,Water body near Velachery is being polluted by industrial waste,Environment
7697,Ambulance service is delayed in Porur,Health
7698,Overcrowded buses are running on the Tambaram route,Public Transport
7699,Mid day meal quality is poor at Chromepet school,Education
7700,Corruption reported in distribution of government scheme benefits in Royapettah,Corruption
7701,Construction debris left on North Street blocking traffic,Road Maintenance
7702,Live wire lying on Bypass Road poses electrocution risk,Public Safety
7703,Road divider near Nehru Street is broken,Road Maintenance
7704,A municipal worker is taking bribes for water connection approvals in the panchayat office area,Corruption
7705,Borewell in Ambattur has run dry,Water Supply
7706,Bus service is irregular on the the railway station road route,Public Transport
7707,Teacher is absent regularly at the Sector 5 government school,Education
7708,Traffic signal timing is too short at Nehru Street,Traffic
7709,Zebra crossing markings have faded on Ring Road,Traffic
7710,Newly laid road on Bypass Road is already damaged,Road Maintenance
7711,Contaminated water is being supplied in Nungambakkam,Water Supply
7712,Bus conductor misbehaved with passengers on Mylapore route,Public Transport
7713,No security personnel at the public park in the panchayat office area,Public Safety
7714,Voltage fluctuation is damaging appliances in Vadapalani,Electricity
7715,No bus service available to Kolathur after 8 pm,Public Transport
7716,Bribe was demanded for issuing a building permit in Saidapet,Corruption
