Complaint,Department,Label
Water pipe burst near Main Road in Velachery,Water Supply,11
A contractor asked for extra money to process ration card in Anna Nagar,Corruption,0
Plastic waste dumped near the water body in the panchayat office area,Environment,3
Money was demanded for processing a pension application in Sector 5,Corruption,0
Solar street lights installed in Porur are non functional,Street Lighting,8
Corruption reported in distribution of government scheme benefits in Adyar,Corruption,0
Voltage fluctuation is damaging appliances in the housing board colony,Electricity,2
Bus stop shelter near Station Road is damaged,Public Transport,6
"New street light pole is needed on North Street, T Nagar",Street Lighting,8
Burning of waste is causing smoke in the main market road,Environment,3
Long waiting times reported at Velachery government hospital,Health,4
Illegal tree cutting is happening near Nehru Street in Egmore,Environment,3
Live wire lying on Park Avenue poses electrocution risk,Public Safety,5
Plastic waste dumped near the water body in Anna Nagar,Environment,3
Someone demanded a bribe for approval of a document in the housing board colony,Corruption,0
Contaminated water is being supplied in the main market road,Water Supply,11
No traffic police present at busy junction near Ring Road,Traffic,9
Huge potholes on Market Road in Mylapore,Road Maintenance,7
Unsafe construction site near North Street lacks barricades,Public Safety,5
Exposed wires near Church Street pose a danger to residents,Electricity,2
"Low water pressure reported near Bazaar Street, Alwarpet",Water Supply,11
Live wire lying on Bazaar Street poses electrocution risk,Public Safety,5
Ambulance service is delayed in the industrial estate,Health,4
No science teacher appointed at Alwarpet school for 12 months,Education,1
School lacks drinking water facility in Block C,Education,1
Government hospital near Bazaar Street lacks basic medicines,Health,4
"Street lights remain on during daytime in Saidapet, wasting power",Street Lighting,8
No specialist doctor visits the Vadapalani health center,Health,4
Stray dogs are attacking residents in Kolathur,Public Safety,5
Illegal parking is causing traffic jams on South Street,Traffic,9
Streetside electric meter is sparking in the housing board colony,Electricity,2
Dead animal left uncollected on Bypass Road in Chromepet,Waste Management,10
Noise pollution from construction near Nehru Street at night,Environment,3
A clerk is taking bribes for water connection approvals in Sector 5,Corruption,0
Streetside electric meter is sparking in the old bus stand area,Electricity,2
Street light flickers continuously on South Street,Street Lighting,8
"New street light pole is needed on Nehru Street, Anna Nagar",Street Lighting,8
Garbage is overflowing near Nehru Street in Vadapalani,Waste Management,10
Bus stop shelter near Temple Street is damaged,Public Transport,6
Illegal tree cutting is happening near Main Road in Chromepet,Environment,3
Construction debris left on Market Road blocking traffic,Road Maintenance,7
Official at the Royapettah office is demanding money for a certificate,Corruption,0
Bus service is irregular on the the housing board colony route,Public Transport,6
Last bus timing has been cancelled for Anna Nagar,Public Transport,6
Long waiting times reported at Alwarpet government hospital,Health,4
Money was demanded for processing a pension application in Royapettah,Corruption,0
Construction debris left on Bazaar Street blocking traffic,Road Maintenance,7
Power supply tripped and not restored for 6 hours in Ward 12,Electricity,2
Plastic waste dumped near the water body in Kolathur,Environment,3
Street light flickers continuously on Church Street,Street Lighting,8
Overcrowded classrooms reported in Phase 2 government school,Education,1
"No footpath available on Temple Street, pedestrians face danger",Road Maintenance,7
Electricity is unavailable in Pallavaram for the past 14 days,Electricity,2
Air pollution levels are high near the factory in the housing board colony,Environment,3
Frequent power cuts are occurring in Velachery,Electricity,2
No traffic police present at busy junction near Station Road,Traffic,9
Water body near Alwarpet is being polluted by industrial waste,Environment,3
Overcrowded buses are running on the Velachery route,Public Transport,6
Money was demanded for processing a pension application in Pallavaram,Corruption,0
School in the old bus stand area lacks proper toilet facilities,Education,1
Bus service is irregular on the Egmore route,Public Transport,6
Garbage collection truck has not come to Tambaram for 11 days,Waste Management,10
Street light wiring is exposed and dangerous in Block C,Street Lighting,8
Road divider near Main Road is broken,Road Maintenance,7
Construction debris left on Ring Road blocking traffic,Road Maintenance,7
Dark stretch on Nehru Street due to broken street lights,Street Lighting,8
2 street lights have been off for weeks near Main Road,Street Lighting,8
Street lights are not working on MG Road in Guindy,Street Lighting,8
A local shopkeeper asked for extra money to process ration card in Guindy,Corruption,0
No specialist doctor visits the Pallavaram health center,Health,4
Water supply has been irregular in Ambattur for 10 weeks,Water Supply,11
Vaccination camp was cancelled without notice in Velachery,Health,4
"No signal at the school crossing near Bazaar Street, Nungambakkam",Traffic,9
Signboards are missing at the Market Road intersection,Traffic,9
"No signal at the school crossing near Gandhi Street, Alwarpet",Traffic,9
Billing error in electricity charges for Saidapet residents,Electricity,2
Primary health center in Kodambakkam is understaffed,Health,4
"New street light pole is needed on Bazaar Street, Pallavaram",Street Lighting,8
Signboards are missing at the Nehru Street intersection,Traffic,9
No traffic police present at busy junction near Main Road,Traffic,9
No water connection provided despite application in Chromepet,Water Supply,11
Exposed wires near MG Road pose a danger to residents,Electricity,2
Contaminated water is being supplied in Tambaram,Water Supply,11
New electricity connection is delayed in near the temple,Electricity,2
Vaccination camp was cancelled without notice in Porur,Health,4
Auto drivers are refusing to use the meter near Gandhi Street,Public Transport,6
Primary health center in Vadapalani is understaffed,Health,4
Zebra crossing markings have faded on MG Road,Traffic,9
Illegal dumping of waste is happening near Nehru Street,Waste Management,10
Last bus timing has been cancelled for the panchayat office area,Public Transport,6
Corruption reported in distribution of government scheme benefits in the housing board colony,Corruption,0
No waste collection service provided in Kodambakkam colony,Waste Management,10
Construction debris left on Ring Road blocking traffic,Road Maintenance,7
Open manhole causing danger on School Lane in Nungambakkam,Public Safety,5
Air pollution levels are high near the factory in the government school area,Environment,3
Construction debris left on Bazaar Street blocking traffic,Road Maintenance,7
Leaking pipeline is wasting water on Gandhi Street,Water Supply,11
Borewell in Porur has run dry,Water Supply,11
Street light flickers continuously on School Lane,Street Lighting,8
Plastic waste dumped near the water body in T Nagar,Environment,3
Zebra crossing markings have faded on North Street,Traffic,9
Dumping ground near the housing board colony is causing bad odor,Waste Management,10
Illegal tree cutting is happening near Church Street in near the temple,Environment,3
Dumping ground near the main market road is causing bad odor,Waste Management,10
Garbage is overflowing near Gandhi Street in Phase 2,Waste Management,10
Water pipe burst near Ring Road in Perambur,Water Supply,11
Money was demanded for processing a pension application in Royapettah,Corruption,0
No traffic police present at busy junction near Station Road,Traffic,9
Overhead tank in the industrial estate has not been cleaned in months,Water Supply,11
"Low water pressure reported near Temple Street, Mylapore",Water Supply,11
Illegal tree cutting is happening near Park Avenue in the panchayat office area,Environment,3
Signboards are missing at the Main Road intersection,Traffic,9
Huge potholes on Church Street in the housing board colony,Road Maintenance,7
Garbage is overflowing near Temple Street in Royapettah,Waste Management,10
Government hospital near Nehru Street lacks basic medicines,Health,4
Money was demanded for processing a pension application in Vadapalani,Corruption,0
Hospital in Ambattur has no doctors available,Health,4
Someone demanded a bribe for approval of a document in T Nagar,Corruption,0
Noise pollution from construction near North Street at night,Environment,3
Hospital in Vadapalani lacks cleanliness and hygiene,Health,4
Plastic waste dumped near the water body in Nungambakkam,Environment,3
Hospital in Alwarpet has no doctors available,Health,4
"Street lights remain on during daytime in Ward 12, wasting power",Street Lighting,8
No waste collection service provided in Alwarpet colony,Waste Management,10
Street lights are not working on School Lane in Alwarpet,Street Lighting,8
Deep pit left uncovered near School Lane in Saidapet,Public Safety,5
"Street lights remain on during daytime in Perambur, wasting power",Street Lighting,8
Signboards are missing at the North Street intersection,Traffic,9
Overcrowded classrooms reported in Vadapalani government school,Education,1
Street light wiring is exposed and dangerous in the housing board colony,Street Lighting,8
Dumping ground near Alwarpet is causing bad odor,Waste Management,10
Contaminated water is being supplied in Vadapalani,Water Supply,11
Frequent power cuts are occurring in Saidapet,Electricity,2
Bribe was demanded for issuing a building permit in the old bus stand area,Corruption,0
Garbage is overflowing near Bypass Road in Egmore,Waste Management,10
Bus stop shelter near Main Road is damaged,Public Transport,6
A government official is taking bribes for water connection approvals in Sector 5,Corruption,0
Bus conductor misbehaved with passengers on Nungambakkam route,Public Transport,6
Garbage is overflowing near Market Road in Vadapalani,Waste Management,10
Burning of waste is causing smoke in Kolathur,Environment,3
Vaccination camp was cancelled without notice in the government school area,Health,4
No water connection provided despite application in Nungambakkam,Water Supply,11
Frequent traffic congestion on School Lane during peak hours,Traffic,9
Street light flickers continuously on Nehru Street,Street Lighting,8
"Street lights remain on during daytime in Porur, wasting power",Street Lighting,8
Water body near Nungambakkam is being polluted by industrial waste,Environment,3
Overhead tank in the railway station road has not been cleaned in months,Water Supply,11
Contaminated water is being supplied in the railway station road,Water Supply,11
Last bus timing has been cancelled for Anna Nagar,Public Transport,6
Primary health center in the housing board colony is understaffed,Health,4
Stray dogs are attacking residents in Perambur,Public Safety,5
Water supply has been irregular in the old bus stand area for 7 weeks,Water Supply,11
Auto drivers are refusing to use the meter near School Lane,Public Transport,6
Broken compound wall near North Street is a safety hazard,Public Safety,5
No waste collection service provided in the government school area colony,Waste Management,10
Billing error in electricity charges for T Nagar residents,Electricity,2
Leaking pipeline is wasting water on MG Road,Water Supply,11
Traffic signal timing is too short at Church Street,Traffic,9
Segregated waste is being mixed by collection staff in Velachery,Waste Management,10
Money was demanded for processing a pension application in Guindy,Corruption,0
Garbage is overflowing near Ring Road in Nungambakkam,Waste Management,10
Broken compound wall near Gandhi Street is a safety hazard,Public Safety,5
Frequent traffic congestion on Bazaar Street during peak hours,Traffic,9
Road divider near Main Road is broken,Road Maintenance,7
Overhead tank in Saidapet has not been cleaned in months,Water Supply,11
Huge potholes on North Street in Royapettah,Road Maintenance,7
Water tanker did not arrive in Kodambakkam as scheduled,Water Supply,11
Illegal dumping of waste is happening near Main Road,Waste Management,10
No waste collection service provided in Perambur colony,Waste Management,10
Noise pollution from construction near School Lane at night,Environment,3
Streetside electric meter is sparking in the panchayat office area,Electricity,2
Open manhole causing danger on Bazaar Street in Mylapore,Public Safety,5
Water supply has been irregular in Velachery for 3 weeks,Water Supply,11
Broken compound wall near South Street is a safety hazard,Public Safety,5
Deep pit left uncovered near Market Road in Ward 12,Public Safety,5
Street light wiring is exposed and dangerous in Saidapet,Street Lighting,8
No science teacher appointed at Vadapalani school for 9 months,Education,1
Dead animal left uncollected on Bypass Road in Chromepet,Waste Management,10
No water connection provided despite application in the main market road,Water Supply,11
Garbage is overflowing near Temple Street in Alwarpet,Waste Management,10
Burning of waste is causing smoke in Adyar,Environment,3
There is no drinking water in Ward 12 for the past 3 days,Water Supply,11
Noise pollution from construction near Market Road at night,Environment,3
Waterlogging occurs on Market Road during rains,Road Maintenance,7
Contaminated water is being supplied in Royapettah,Water Supply,11
Deep pit left uncovered near Park Avenue in Mylapore,Public Safety,5
Waterlogging occurs on School Lane during rains,Road Maintenance,7
There is no drinking water in Nungambakkam for the past 2 days,Water Supply,11
Dumping ground near Ward 12 is causing bad odor,Waste Management,10
A government official is taking bribes for water connection approvals in Royapettah,Corruption,0
Frequent power cuts are occurring in near the temple,Electricity,2
Contaminated water is being supplied in Velachery,Water Supply,11
Signboards are missing at the MG Road intersection,Traffic,9
Last bus timing has been cancelled for Kodambakkam,Public Transport,6
Road divider near Bypass Road is broken,Road Maintenance,7
Traffic signal timing is too short at Gandhi Street,Traffic,9
Segregated waste is being mixed by collection staff in Guindy,Waste Management,10
Bribe was demanded for issuing a building permit in Ambattur,Corruption,0
"New street light pole is needed on Bypass Road, Saidapet",Street Lighting,8
No security personnel at the public park in Saidapet,Public Safety,5
Encroachment on the lake near Kodambakkam is destroying wetlands,Environment,3
Hospital in the panchayat office area has no doctors available,Health,4
Illegal dumping of waste is happening near Ring Road,Waste Management,10
Mid day meal quality is poor at Egmore school,Education,1
Vaccination camp was cancelled without notice in Porur,Health,4
Encroachment on the lake near Ambattur is destroying wetlands,Environment,3
Street lights are not working on Nehru Street in Velachery,Street Lighting,8
Burning of waste is causing smoke in T Nagar,Environment,3
Road divider near Station Road is broken,Road Maintenance,7
Road divider near Main Road is broken,Road Maintenance,7
School lacks drinking water facility in Velachery,Education,1
Road near MG Road has not been repaired after monsoon,Road Maintenance,7
Encroachment on the lake near Ward 12 is destroying wetlands,Environment,3
No science teacher appointed at Adyar school for 8 months,Education,1
Road near Bypass Road has not been repaired after monsoon,Road Maintenance,7
Abandoned building near Temple Street is unsafe for children,Public Safety,5
Live wire lying on Market Road poses electrocution risk,Public Safety,5
Someone demanded a bribe for approval of a document in Chromepet,Corruption,0
Street light wiring is exposed and dangerous in Velachery,Street Lighting,8
Billing error in electricity charges for near the temple residents,Electricity,2
Money was demanded for processing a pension application in Chromepet,Corruption,0
Mid day meal quality is poor at Royapettah school,Education,1
No specialist doctor visits the Block C health center,Health,4
Noise pollution from construction near Ring Road at night,Environment,3
Open manhole causing danger on Gandhi Street in Phase 2,Public Safety,5
Water supply has been irregular in Tambaram for 14 weeks,Water Supply,11
Newly laid road on Station Road is already damaged,Road Maintenance,7
"New street light pole is needed on Main Road, Phase 2",Street Lighting,8
Voltage fluctuation is damaging appliances in Anna Nagar,Electricity,2
Unsafe construction site near MG Road lacks barricades,Public Safety,5
A municipal worker asked for extra money to process ration card in Phase 2,Corruption,0
Segregated waste is being mixed by collection staff in Block C,Waste Management,10
Billing error in electricity charges for Royapettah residents,Electricity,2
Stray dogs are attacking residents in the main market road,Public Safety,5
Long waiting times reported at Kodambakkam government hospital,Health,4
"Street lights remain on during daytime in Nungambakkam, wasting power",Street Lighting,8
A clerk asked for extra money to process ration card in Nungambakkam,Corruption,0
No traffic police present at busy junction near Market Road,Traffic,9
Billing error in electricity charges for Kodambakkam residents,Electricity,2
Illegal dumping of waste is happening near MG Road,Waste Management,10
Bribe was demanded for issuing a building permit in Adyar,Corruption,0
Hospital in the old bus stand area lacks cleanliness and hygiene,Health,4
Primary health center in Sector 5 is understaffed,Health,4
Burning of waste is causing smoke in Kolathur,Environment,3
No bus service available to Adyar after 8 pm,Public Transport,6
Transformer near Nehru Street in the old bus stand area is not working,Electricity,2
Dark stretch on Park Avenue due to broken street lights,Street Lighting,8
Newly laid road on Ring Road is already damaged,Road Maintenance,7
Road near School Lane has not been repaired after monsoon,Road Maintenance,7
Street light flickers continuously on MG Road,Street Lighting,8
Plastic waste dumped near the water body in Egmore,Environment,3
Ambulance service is delayed in the old bus stand area,Health,4
Bribe was demanded for issuing a building permit in T Nagar,Corruption,0
Transformer near Church Street in Anna Nagar is not working,Electricity,2
Traffic signal timing is too short at Bypass Road,Traffic,9
Government hospital near Gandhi Street lacks basic medicines,Health,4
Segregated waste is being mixed by collection staff in Kolathur,Waste Management,10
School in Sector 5 lacks proper toilet facilities,Education,1
No security personnel at the public park in near the temple,Public Safety,5
Noise pollution from construction near Main Road at night,Environment,3
Traffic signal timing is too short at Market Road,Traffic,9
Air pollution levels are high near the factory in Nungambakkam,Environment,3
Burning of waste is causing smoke in Velachery,Environment,3
Long waiting times reported at the housing board colony government hospital,Health,4
Speed breakers are missing near the school on Nehru Street,Road Maintenance,7
Auto drivers are refusing to use the meter near School Lane,Public Transport,6
Signboards are missing at the Main Road intersection,Traffic,9
School in the panchayat office area lacks proper toilet facilities,Education,1
Auto drivers are refusing to use the meter near Bazaar Street,Public Transport,6
Long waiting times reported at Perambur government hospital,Health,4
Vaccination camp was cancelled without notice in the housing board colony,Health,4
Government hospital near MG Road lacks basic medicines,Health,4
Zebra crossing markings have faded on Temple Street,Traffic,9
"Street lights remain on during daytime in the housing board colony, wasting power",Street Lighting,8
Live wire lying on Nehru Street poses electrocution risk,Public Safety,5
Someone demanded a bribe for approval of a document in Saidapet,Corruption,0
Last bus timing has been cancelled for Alwarpet,Public Transport,6
Government hospital near Bypass Road lacks basic medicines,Health,4
Bus conductor misbehaved with passengers on the railway station road route,Public Transport,6
Road divider near Park Avenue is broken,Road Maintenance,7
Money was demanded for processing a pension application in Guindy,Corruption,0
A municipal worker asked for extra money to process ration card in Porur,Corruption,0
Ambulance service is delayed in Vadapalani,Health,4
Plastic waste dumped near the water body in Nungambakkam,Environment,3
Bus service is irregular on the Ward 12 route,Public Transport,6
Public dustbin near Temple Street is broken and overflowing,Waste Management,10
8 street lights have been off for weeks near School Lane,Street Lighting,8
Solar street lights installed in Pallavaram are non functional,Street Lighting,8
Newly laid road on North Street is already damaged,Road Maintenance,7
Streetside electric meter is sparking in Sector 5,Electricity,2
"Street lights remain on during daytime in Royapettah, wasting power",Street Lighting,8
Construction debris left on Nehru Street blocking traffic,Road Maintenance,7
A local shopkeeper is taking bribes for water connection approvals in Chromepet,Corruption,0
Voltage fluctuation is damaging appliances in Kodambakkam,Electricity,2
Last bus timing has been cancelled for Chromepet,Public Transport,6
Money was demanded for processing a pension application in Egmore,Corruption,0
Signboards are missing at the Station Road intersection,Traffic,9
Water pipe burst near Bazaar Street in the industrial estate,Water Supply,11
No specialist doctor visits the Kolathur health center,Health,4
School building near Market Road needs urgent repair,Education,1
No specialist doctor visits the Ambattur health center,Health,4
Money was demanded for processing a pension application in Ambattur,Corruption,0
No water connection provided despite application in the industrial estate,Water Supply,11
Speed breakers are missing near the school on Market Road,Road Maintenance,7
Zebra crossing markings have faded on Bypass Road,Traffic,9
Road near South Street has not been repaired after monsoon,Road Maintenance,7
Dark stretch on South Street due to broken street lights,Street Lighting,8
Overcrowded buses are running on the Mylapore route,Public Transport,6
No science teacher appointed at Alwarpet school for 2 months,Education,1
Noise pollution from construction near Nehru Street at night,Environment,3
An officer at the counter asked for extra money to process ration card in Saidapet,Corruption,0
Stray dogs are attacking residents in Ward 12,Public Safety,5
Auto drivers are refusing to use the meter near Bazaar Street,Public Transport,6
Newly laid road on Park Avenue is already damaged,Road Maintenance,7
Bribe was demanded for issuing a building permit in Ambattur,Corruption,0
There is no drinking water in Kodambakkam for the past 8 days,Water Supply,11
There is no drinking water in the government school area for the past 9 days,Water Supply,11
Plastic waste dumped near the water body in Tambaram,Environment,3
Signboards are missing at the Temple Street intersection,Traffic,9
Illegal dumping of waste is happening near Park Avenue,Waste Management,10
Noise pollution from construction near Ring Road at night,Environment,3
There is no drinking water in the industrial estate for the past 5 days,Water Supply,11
Road divider near Park Avenue is broken,Road Maintenance,7
Corruption reported in distribution of government scheme benefits in the housing board colony,Corruption,0
"Low water pressure reported near Main Road, the railway station road",Water Supply,11
Auto drivers are refusing to use the meter near Church Street,Public Transport,6
Road divider near North Street is broken,Road Maintenance,7
Air pollution levels are high near the factory in Pallavaram,Environment,3
New electricity connection is delayed in Ward 12,Electricity,2
Construction debris left on Main Road blocking traffic,Road Maintenance,7
Solar street lights installed in Vadapalani are non functional,Street Lighting,8
Plastic waste dumped near the water body in Guindy,Environment,3
Plastic waste dumped near the water body in Ambattur,Environment,3
New electricity connection is delayed in Perambur,Electricity,2
Money was demanded for processing a pension application in Velachery,Corruption,0
"Low water pressure reported near Market Road, Pallavaram",Water Supply,11
Illegal dumping of waste is happening near School Lane,Waste Management,10
Speed breakers are missing near the school on Ring Road,Road Maintenance,7
Signboards are missing at the Church Street intersection,Traffic,9
Open manhole causing danger on Ring Road in Egmore,Public Safety,5
Water pipe burst near Bypass Road in near the temple,Water Supply,11
Zebra crossing markings have faded on South Street,Traffic,9
Textbooks not distributed on time in Perambur schools,Education,1
Long waiting times reported at Kodambakkam government hospital,Health,4
Open manhole causing danger on Market Road in the housing board colony,Public Safety,5
Burning of waste is causing smoke in the main market road,Environment,3
Water pipe burst near North Street in Ambattur,Water Supply,11
Overhead tank in Vadapalani has not been cleaned in months,Water Supply,11
Public dustbin near Station Road is broken and overflowing,Waste Management,10
Broken compound wall near Nehru Street is a safety hazard,Public Safety,5
Street light wiring is exposed and dangerous in the panchayat office area,Street Lighting,8
Hospital in Ward 12 lacks cleanliness and hygiene,Health,4
Last bus timing has been cancelled for Perambur,Public Transport,6
Corruption reported in distribution of government scheme benefits in Royapettah,Corruption,0
Electricity is unavailable in Ambattur for the past 5 days,Electricity,2
Illegal sand mining reported near the old bus stand area,Environment,3
No bus service available to Royapettah after 8 pm,Public Transport,6
Borewell in Velachery has run dry,Water Supply,11
"Traffic signal is damaged at Main Road junction, Alwarpet",Traffic,9
Transformer near School Lane in the housing board colony is not working,Electricity,2
Street light wiring is exposed and dangerous in Kolathur,Street Lighting,8
Contaminated water is being supplied in Adyar,Water Supply,11
Bus stop shelter near Main Road is damaged,Public Transport,6
Last bus timing has been cancelled for Adyar,Public Transport,6
No security personnel at the public park in Anna Nagar,Public Safety,5
Live wire lying on School Lane poses electrocution risk,Public Safety,5
Unsafe construction site near Temple Street lacks barricades,Public Safety,5
No security personnel at the public park in near the temple,Public Safety,5
Government hospital near Gandhi Street lacks basic medicines,Health,4
Bribe was demanded for issuing a building permit in Chromepet,Corruption,0
Dead animal left uncollected on Park Avenue in Ambattur,Waste Management,10
Power supply tripped and not restored for 14 hours in Perambur,Electricity,2
Someone demanded a bribe for approval of a document in Mylapore,Corruption,0
Public dustbin near Nehru Street is broken and overflowing,Waste Management,10
Huge potholes on Bazaar Street in T Nagar,Road Maintenance,7
Primary health center in Saidapet is understaffed,Health,4
Street light flickers continuously on Nehru Street,Street Lighting,8
Dark stretch on South Street due to broken street lights,Street Lighting,8
Money was demanded for processing a pension application in Royapettah,Corruption,0
Zebra crossing markings have faded on Ring Road,Traffic,9
Solar street lights installed in Chromepet are non functional,Street Lighting,8
Live wire lying on Gandhi Street poses electrocution risk,Public Safety,5
"No footpath available on Nehru Street, pedestrians face danger",Road Maintenance,7
Hospital in Ambattur lacks cleanliness and hygiene,Health,4
Exposed wires near South Street pose a danger to residents,Electricity,2
Unsafe construction site near South Street lacks barricades,Public Safety,5
An officer at the counter is taking bribes for water connection approvals in Mylapore,Corruption,0
Road near MG Road has not been repaired after monsoon,Road Maintenance,7
No bus service available to Perambur after 8 pm,Public Transport,6
Mid day meal quality is poor at Block C school,Education,1
Live wire lying on School Lane poses electrocution risk,Public Safety,5
New electricity connection is delayed in Nungambakkam,Electricity,2
Deep pit left uncovered near Nehru Street in Adyar,Public Safety,5
Stray dogs are attacking residents in T Nagar,Public Safety,5
"Street lights remain on during daytime in Nungambakkam, wasting power",Street Lighting,8
Illegal parking is causing traffic jams on Station Road,Traffic,9
Open manhole causing danger on Ring Road in the industrial estate,Public Safety,5
Auto drivers are refusing to use the meter near Main Road,Public Transport,6
There is no drinking water in Porur for the past 8 days,Water Supply,11
Vaccination camp was cancelled without notice in Chromepet,Health,4
"Street lights remain on during daytime in T Nagar, wasting power",Street Lighting,8
Dead animal left uncollected on Park Avenue in the railway station road,Waste Management,10
Street light flickers continuously on Temple Street,Street Lighting,8
Construction debris left on Market Road blocking traffic,Road Maintenance,7
Open manhole causing danger on North Street in Pallavaram,Public Safety,5
No specialist doctor visits the Kolathur health center,Health,4
Mid day meal quality is poor at Kolathur school,Education,1
No waste collection service provided in Vadapalani colony,Waste Management,10
No waste collection service provided in Velachery colony,Waste Management,10
Electricity is unavailable in Egmore for the past 5 days,Electricity,2
Water supply has been irregular in Vadapalani for 4 weeks,Water Supply,11
School in Block C lacks proper toilet facilities,Education,1
There is no drinking water in Pallavaram for the past 5 days,Water Supply,11
Water supply has been irregular in the government school area for 8 weeks,Water Supply,11
School in Block C lacks proper toilet facilities,Education,1
Bus conductor misbehaved with passengers on Saidapet route,Public Transport,6
Dark stretch on Bypass Road due to broken street lights,Street Lighting,8
Deep pit left uncovered near Nehru Street in T Nagar,Public Safety,5
Deep pit left uncovered near South Street in Pallavaram,Public Safety,5
Construction debris left on Main Road blocking traffic,Road Maintenance,7
Open manhole causing danger on Main Road in Alwarpet,Public Safety,5
Street light flickers continuously on North Street,Street Lighting,8
Broken compound wall near MG Road is a safety hazard,Public Safety,5
Abandoned building near Park Avenue is unsafe for children,Public Safety,5
Water pipe burst near MG Road in Adyar,Water Supply,11
Water body near Adyar is being polluted by industrial waste,Environment,3
Public dustbin near Gandhi Street is broken and overflowing,Waste Management,10
Construction debris left on Temple Street blocking traffic,Road Maintenance,7
Illegal sand mining reported near Alwarpet,Environment,3
Money was demanded for processing a pension application in the industrial estate,Corruption,0
Hospital in the government school area lacks cleanliness and hygiene,Health,4
Illegal parking is causing traffic jams on Church Street,Traffic,9
There is no drinking water in Porur for the past 5 days,Water Supply,11
Newly laid road on South Street is already damaged,Road Maintenance,7
Street light flickers continuously on North Street,Street Lighting,8
School lacks drinking water facility in Chromepet,Education,1
Last bus timing has been cancelled for Vadapalani,Public Transport,6
Dumping ground near Alwarpet is causing bad odor,Waste Management,10
Transformer near Nehru Street in T Nagar is not working,Electricity,2
Noise pollution from construction near Market Road at night,Environment,3
Broken compound wall near Station Road is a safety hazard,Public Safety,5
Vaccination camp was cancelled without notice in Pallavaram,Health,4
Hospital in the main market road lacks cleanliness and hygiene,Health,4
Water tanker did not arrive in Pallavaram as scheduled,Water Supply,11
Illegal dumping of waste is happening near Church Street,Waste Management,10
Electricity is unavailable in Guindy for the past 4 days,Electricity,2
Billing error in electricity charges for Ward 12 residents,Electricity,2
Water supply has been irregular in the government school area for 5 weeks,Water Supply,11
Voltage fluctuation is damaging appliances in Anna Nagar,Electricity,2
Voltage fluctuation is damaging appliances in Nungambakkam,Electricity,2
No science teacher appointed at Ambattur school for 3 months,Education,1
A government official asked for extra money to process ration card in the government school area,Corruption,0
There is no drinking water in Saidapet for the past 15 days,Water Supply,11
Speed breakers are missing near the school on Station Road,Road Maintenance,7
8 street lights have been off for weeks near MG Road,Street Lighting,8
Encroachment on the lake near Chromepet is destroying wetlands,Environment,3
"Street lights remain on during daytime in Kodambakkam, wasting power",Street Lighting,8
Vaccination camp was cancelled without notice in Kolathur,Health,4
Water supply has been irregular in Phase 2 for 7 weeks,Water Supply,11
Street lights are not working on Nehru Street in Royapettah,Street Lighting,8
Streetside electric meter is sparking in the housing board colony,Electricity,2
Plastic waste dumped near the water body in the railway station road,Environment,3
Teacher is absent regularly at the Velachery government school,Education,1
Textbooks not distributed on time in Pallavaram schools,Education,1
Solar street lights installed in Pallavaram are non functional,Street Lighting,8
"No footpath available on Bypass Road, pedestrians face danger",Road Maintenance,7
Encroachment on the lake near Pallavaram is destroying wetlands,Environment,3
Open manhole causing danger on Main Road in Tambaram,Public Safety,5
Dumping ground near the panchayat office area is causing bad odor,Waste Management,10
Primary health center in Guindy is understaffed,Health,4
Speed breakers are missing near the school on South Street,Road Maintenance,7
Burning of waste is causing smoke in Perambur,Environment,3
Illegal tree cutting is happening near Station Road in the housing board colony,Environment,3
A local shopkeeper is taking bribes for water connection approvals in Anna Nagar,Corruption,0
Newly laid road on School Lane is already damaged,Road Maintenance,7
Overcrowded buses are running on the the government school area route,Public Transport,6
Mid day meal quality is poor at Kodambakkam school,Education,1
Garbage collection truck has not come to Phase 2 for 15 days,Waste Management,10
A contractor is taking bribes for water connection approvals in Ward 12,Corruption,0
Road divider near Main Road is broken,Road Maintenance,7
Signboards are missing at the Church Street intersection,Traffic,9
Dark stretch on Ring Road due to broken street lights,Street Lighting,8
Dark stretch on Main Road due to broken street lights,Street Lighting,8
Bribe was demanded for issuing a building permit in Egmore,Corruption,0
Mid day meal quality is poor at Pallavaram school,Education,1
School lacks drinking water facility in T Nagar,Education,1
Overhead tank in Sector 5 has not been cleaned in months,Water Supply,11
Dead animal left uncollected on Bazaar Street in Saidapet,Waste Management,10
Bus frequency has reduced drastically on Ambattur route,Public Transport,6
No water connection provided despite application in Guindy,Water Supply,11
Corruption reported in distribution of government scheme benefits in the railway station road,Corruption,0
Power supply tripped and not restored for 2 hours in the main market road,Electricity,2
Illegal sand mining reported near Vadapalani,Environment,3
Bribe was demanded for issuing a building permit in Alwarpet,Corruption,0
"Street lights remain on during daytime in the panchayat office area, wasting power",Street Lighting,8
Corruption reported in distribution of government scheme benefits in Velachery,Corruption,0
Road near School Lane has not been repaired after monsoon,Road Maintenance,7
Primary health center in Royapettah is understaffed,Health,4
School building near South Street needs urgent repair,Education,1
Burning of waste is causing smoke in Sector 5,Environment,3
Mid day meal quality is poor at the government school area school,Education,1
"Street lights remain on during daytime in the government school area, wasting power",Street Lighting,8
Money was demanded for processing a pension application in Velachery,Corruption,0
Water pipe burst near Bazaar Street in Sector 5,Water Supply,11
School lacks drinking water facility in Egmore,Education,1
